school,sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,pass
GP,F,19,U,LE3,T,0,1,3,2,0,no,yes,yes,no,yes,yes,yes,3,5,2,2,1,2,3,9,10,9,0
MS,F,18,U,GT3,T,1,1,4,3,2,no,no,no,yes,yes,yes,yes,2,1,2,2,4,5,6,11,11,11,1
MS,F,19,U,GT3,T,0,2,3,3,0,no,no,yes,no,yes,yes,yes,1,2,2,3,2,2,8,13,13,12,1
GP,M,16,R,GT3,A,3,2,4,3,0,no,yes,yes,yes,yes,yes,no,3,1,1,2,1,2,2,15,15,15,1
GP,F,18,U,GT3,T,4,1,1,3,0,yes,yes,no,no,yes,yes,yes,2,4,3,4,5,3,8,15,13,15,1
GP,M,17,R,LE3,T,0,2,1,2,0,no,yes,no,no,yes,no,yes,1,3,4,3,1,3,6,13,12,12,1
GP,M,18,R,LE3,T,4,0,4,3,1,no,yes,no,no,yes,yes,no,5,4,1,4,4,1,9,11,10,11,1
MS,F,17,R,LE3,T,1,2,3,4,0,no,yes,no,yes,yes,yes,no,3,3,3,4,3,1,8,15,15,14,1
GP,F,17,U,LE3,T,3,2,2,3,0,no,yes,no,no,yes,yes,yes,1,4,2,3,3,4,1,15,14,16,1
MS,F,18,R,LE3,T,1,1,4,3,2,yes,no,no,yes,yes,no,yes,2,5,3,5,2,5,3,12,13,13,1
GP,M,17,U,GT3,A,3,0,3,3,0,no,yes,no,yes,yes,yes,no,2,3,1,2,2,3,7,18,18,17,1
MS,F,17,U,GT3,T,3,3,3,1,0,no,no,yes,yes,yes,yes,no,5,3,2,1,4,1,5,16,15,16,1
MS,M,16,U,LE3,T,4,3,3,4,3,yes,no,yes,yes,no,yes,no,3,4,1,1,2,5,1,11,11,12,1
GP,F,19,R,LE3,T,1,4,2,4,0,no,no,no,no,yes,yes,no,3,2,4,1,3,2,8,16,16,17,1
GP,M,19,U,GT3,T,1,2,2,2,0,no,no,no,yes,yes,yes,yes,1,4,2,2,4,5,2,16,15,14,1
GP,F,16,R,LE3,T,0,2,2,2,0,no,no,no,no,yes,no,yes,2,3,3,5,4,3,6,11,11,12,1
GP,F,18,U,GT3,T,1,0,4,3,0,no,no,no,no,yes,yes,no,2,3,1,4,4,4,1,12,13,13,1
GP,M,15,R,GT3,T,0,3,4,1,0,no,no,no,no,yes,no,no,5,2,5,3,1,3,2,9,10,11,1
GP,M,15,R,GT3,T,2,4,2,2,2,no,yes,no,no,yes,yes,yes,5,1,3,5,2,1,9,13,10,9,0
GP,F,15,U,LE3,T,2,0,4,2,0,yes,no,no,yes,yes,no,no,3,2,3,1,5,1,4,11,11,10,1
GP,M,16,R,LE3,T,2,2,2,3,1,no,no,yes,no,no,yes,yes,2,1,2,2,3,5,1,12,14,12,1
GP,F,16,U,GT3,T,1,3,4,3,2,no,no,no,yes,yes,no,yes,1,3,3,2,2,3,3,12,12,12,1
GP,M,17,U,GT3,T,1,4,3,2,0,no,no,yes,no,yes,yes,yes,4,5,1,3,3,1,3,13,14,12,1
GP,M,15,U,GT3,T,0,1,2,2,0,no,yes,no,no,no,yes,yes,1,5,5,4,2,2,2,14,14,12,1
GP,F,18,U,LE3,T,3,3,4,4,0,no,yes,no,no,yes,yes,no,5,4,4,5,5,2,2,15,15,17,1
MS,F,18,U,GT3,T,0,4,3,1,2,no,yes,no,yes,yes,yes,no,1,2,5,5,3,4,5,6,5,6,0
GP,F,15,U,GT3,T,2,0,3,4,1,no,yes,no,yes,yes,yes,yes,2,2,1,5,5,5,7,9,8,9,0
GP,M,15,U,GT3,T,0,1,4,2,0,no,no,no,yes,yes,no,no,3,5,2,4,3,1,6,14,15,15,1
GP,M,15,R,LE3,T,3,4,3,4,0,no,yes,yes,yes,no,yes,no,4,1,1,4,1,4,4,14,15,15,1
GP,F,16,R,LE3,A,1,4,1,4,0,no,yes,yes,yes,yes,yes,no,3,2,3,4,1,2,7,18,18,19,1
GP,F,16,R,GT3,T,0,2,2,2,2,no,yes,no,no,yes,yes,no,4,1,2,3,3,4,9,7,6,6,0
GP,M,16,R,GT3,T,2,3,2,3,0,no,yes,no,yes,yes,no,yes,4,1,4,2,3,4,3,19,19,19,1
GP,M,19,R,GT3,T,2,2,3,2,0,no,no,no,no,yes,yes,no,2,1,4,1,5,1,4,17,19,18,1
MS,M,18,U,GT3,T,1,1,4,3,2,no,no,yes,no,yes,yes,no,2,1,1,4,4,1,2,7,8,6,0
MS,F,18,U,GT3,T,0,4,1,2,0,no,yes,no,no,yes,yes,no,5,4,3,2,3,1,2,12,12,13,1
MS,F,17,R,GT3,T,3,2,4,2,0,no,yes,no,yes,yes,yes,no,5,4,4,4,2,5,9,14,13,13,1
GP,F,16,U,GT3,T,1,3,2,2,0,no,yes,no,yes,yes,yes,yes,4,5,5,1,2,4,6,15,16,16,1
GP,M,19,R,GT3,T,0,1,3,1,0,no,yes,no,yes,yes,yes,no,5,4,2,4,2,4,10,13,13,13,1
GP,F,19,U,GT3,A,4,0,1,3,0,no,yes,no,yes,yes,yes,yes,2,2,5,2,1,5,4,15,16,17,1
GP,M,18,U,GT3,T,2,2,3,1,2,no,no,no,no,yes,yes,yes,5,4,4,3,5,2,5,13,13,12,1
GP,F,16,U,GT3,T,3,1,1,2,0,no,yes,no,yes,no,yes,yes,4,2,4,1,1,3,3,16,15,14,1
GP,M,17,U,LE3,T,3,0,3,4,0,no,yes,no,no,no,yes,no,3,2,1,2,2,2,3,14,14,13,1
GP,M,16,U,GT3,T,3,2,4,1,0,no,yes,yes,no,yes,yes,yes,1,1,1,5,3,5,3,11,12,12,1
MS,M,15,R,LE3,T,2,1,2,3,0,yes,no,no,no,yes,yes,no,5,5,2,5,2,4,4,12,12,13,1
GP,F,16,U,GT3,T,0,1,3,2,0,no,no,yes,yes,yes,yes,no,2,1,1,5,3,4,3,15,14,16,1
GP,F,15,U,GT3,T,1,2,3,1,1,yes,no,yes,yes,yes,yes,no,3,1,3,3,5,1,0,8,7,6,0
GP,F,15,R,LE3,T,0,1,1,4,1,no,yes,no,no,yes,yes,yes,2,4,2,4,4,1,5,16,15,15,1
GP,M,17,R,GT3,T,1,4,4,1,0,no,no,yes,yes,yes,yes,no,5,4,3,4,3,4,4,14,12,10,1
GP,M,18,U,GT3,T,3,2,4,3,0,no,yes,no,yes,yes,yes,no,4,2,1,4,1,4,6,14,15,15,1
GP,M,16,R,LE3,T,0,1,1,1,0,no,yes,no,yes,yes,yes,no,1,4,2,3,2,1,5,9,7,9,0
MS,M,15,U,GT3,T,3,0,4,4,2,no,yes,no,yes,no,yes,no,1,4,4,5,2,1,5,12,13,12,1
MS,M,16,U,GT3,T,4,0,2,4,0,no,yes,no,no,yes,yes,no,3,3,5,4,2,2,7,19,18,19,1
MS,F,18,U,GT3,T,3,4,3,3,1,yes,no,yes,yes,yes,no,no,1,2,4,3,3,4,4,10,13,12,1
MS,M,18,R,GT3,T,3,2,1,4,0,no,no,no,no,yes,yes,no,4,2,3,3,5,4,4,13,15,13,1
GP,F,19,U,LE3,T,1,1,4,2,2,no,yes,yes,yes,yes,yes,yes,2,3,4,2,3,5,5,10,11,11,1
